mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__kernel,param_tfidf__max_df,param_tfidf__max_features,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,classifier,tokenizer,param_classifier__alpha,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__n_estimators
0.2689222494761149,0.02326889852544285,0.08815383911132812,0.008092992443020579,100.0,linear,0.9,7000,"{'classifier__C': 100, 'classifier__kernel': 'linear', 'tfidf__max_df': 0.9, 'tfidf__max_features': 7000}",0.5125,0.6075949367088608,0.569620253164557,0.5632383966244725,0.03908373759497442,1,svm,thai_preprocess,,,,
0.30535364151000977,0.05537823810106333,0.09791310628255208,0.025893707861439953,100.0,linear,0.9,No Max Features,"{'classifier__C': 100, 'classifier__kernel': 'linear', 'tfidf__max_df': 0.9, 'tfidf__max_features': None}",0.5125,0.6075949367088608,0.569620253164557,0.5632383966244725,0.03908373759497442,1,svm,thai_preprocess,,,,
0.33518822987874347,0.08441974429105874,0.08495831489562988,0.009151800276260771,100.0,rbf,0.8,5000,"{'classifier__C': 100, 'classifier__kernel': 'rbf', 'tfidf__max_df': 0.8, 'tfidf__max_features': 5000}",0.4875,0.4936708860759494,0.5063291139240507,0.49583333333333335,0.007837559841215263,19,svm,thai_preprocess,,,,
0.42438213030497235,0.08160019348345393,0.07872621218363444,0.012522673999544539,100.0,rbf,0.8,7000,"{'classifier__C': 100, 'classifier__kernel': 'rbf', 'tfidf__max_df': 0.8, 'tfidf__max_features': 7000}",0.4875,0.4936708860759494,0.5063291139240507,0.49583333333333335,0.007837559841215263,19,svm,thai_preprocess,,,,
0.2545718351999919,0.016552307723456623,0.06279548009236653,0.0028737319188230047,100.0,rbf,0.8,No Max Features,"{'classifier__C': 100, 'classifier__kernel': 'rbf', 'tfidf__max_df': 0.8, 'tfidf__max_features': None}",0.4875,0.4936708860759494,0.5063291139240507,0.49583333333333335,0.007837559841215263,19,svm,thai_preprocess,,,,
0.2494839827219645,0.010186212781382653,0.0978864034016927,0.01328775704008042,100.0,rbf,0.9,5000,"{'classifier__C': 100, 'classifier__kernel': 'rbf', 'tfidf__max_df': 0.9, 'tfidf__max_features': 5000}",0.4875,0.4936708860759494,0.4936708860759494,0.4916139240506329,0.002908983593488977,25,svm,thai_preprocess,,,,
0.26122387250264484,0.015634103744040277,0.08105651537577312,0.019463242505086877,100.0,rbf,0.9,7000,"{'classifier__C': 100, 'classifier__kernel': 'rbf', 'tfidf__max_df': 0.9, 'tfidf__max_features': 7000}",0.4875,0.4936708860759494,0.4936708860759494,0.4916139240506329,0.002908983593488977,25,svm,thai_preprocess,,,,
0.2218505541483561,0.0273715749096454,0.051704963048299156,0.0074291662632316475,100.0,rbf,0.9,No Max Features,"{'classifier__C': 100, 'classifier__kernel': 'rbf', 'tfidf__max_df': 0.9, 'tfidf__max_features': None}",0.4875,0.4936708860759494,0.4936708860759494,0.4916139240506329,0.002908983593488977,25,svm,thai_preprocess,,,,
0.15826050440470377,0.020524760813931828,0.06578310330708821,0.017920822897944385,,,0.8,5000,"{'classifier__alpha': 0.01, 'tfidf__max_df': 0.8, 'tfidf__max_features': 5000}",0.55,0.5189873417721519,0.5443037974683544,0.5377637130801688,0.01347901505904077,1,naive_bayes,thai_preprocess,0.01,,,
0.19114144643147787,0.00871839783611703,0.05626924832661947,0.004932199001854265,,,0.8,7000,"{'classifier__alpha': 0.01, 'tfidf__max_df': 0.8, 'tfidf__max_features': 7000}",0.55,0.5189873417721519,0.5443037974683544,0.5377637130801688,0.01347901505904077,1,naive_bayes,thai_preprocess,0.01,,,
